ID,Название книги,Автор книги,Год издания,Статус
182,Кому на Руси жить хорошо,Николай Некрасов,1865-1876,в наличии
183,Дуэль,Антон Чехов,1891,в наличии
184,"Прощай, оружие! ",Эрнест Хемингуэй,1929,в наличии
185,Машина времени,Герберт Уэллс,1895,в наличии
186,Роковые яйца,Михаил Булгаков,1924,в наличии
187,Муму,Иван Тургенев,1852,в наличии
188,Замыслил я побег…,Юрий Поляков,1999,в наличии
189,О дивный новый мир,Олдос Хаксли,1932,в наличии
190,Тёмные аллеи,Иван Бунин,1938,в наличии
191,Челкаш,Максим Горький,1895,в наличии
192,Каштанка,Антон Чехов,1887,в наличии
193,Сто дней до приказа,Юрий Поляков,"1980, 1987",в наличии
194,Василий Тёркин,Александр Твардовский,1942-1945,в наличии
195,Повесть о настоящем человеке,Борис Полевой,1946,в наличии
196,Колымские рассказы,Варлам Шаламов,1954-1962,в наличии
197,Этюд в багровых тонах,Артур Конан Дойль,1887,в наличии
198,Кондуит и Швамбрания,Лев Кассиль,1928-1931,в наличии
199,Гордость и предубеждение,Джейн Остин,"1796-1797, 1813",в наличии
200,Загадочное происшествие в Стайлзе,Агата Кристи,1920,в наличии
201,Цикл произведений о Ведьмаке,Анджей Сапковский,1990-1998,в наличии
202,Анна Снегина,Сергей Есенин,1925,в наличии
203,Обыкновенное чудо,Евгений Шварц,1956,в наличии
204,Улитка на склоне,Аркадий и Борис Стругацкие,"1966, 1968",в наличии
205,Затерянный мир,Артур Конан Дойль,1912,в наличии
206,Недоросль,Денис Фонвизин,1782,в наличии
207,Рассказы,О.Генри,1904-1910,в наличии
208,Час быка,Иван Ефремов,1970,в наличии
209,Господа Головлёвы,Михаил Салтыков-Щедрин,1875—1880 гг,в наличии
210,Вокруг света за восемьдесят дней,Жюль Верн,1872,в наличии
211,Превращение,Франц Кафка,1912,в наличии
212,Град обреченный,Аркадий и Борис Стругацкие,1975,в наличии
213,"Богач, бедняк",Ирвин Шоу,1969,в наличии
214,Старуха Изергиль,Максим Горький,1894,в наличии
215,Педагогическая поэма,Антон Макаренко,1931,в наличии
216,Неточка Незванова,Федор Достоевский,1849,в наличии
217,Запертая комната,"Пер Вале, Май Шевалль",1972,в наличии
218,Сказка о царе Салтане,Александр Пушкин,1831,в наличии
219,Пять поросят,Агата Кристи,1942,в наличии
220,Апофегей,Юрий Поляков,1989,в наличии
221,Жизнь взаймы,Эрих Мария Ремарк,1959/1961,в наличии
222,Уроки французского,Валентин Распутин,1973,в наличии
223,Багровый остров,Михаил Булгаков,1924,в наличии
224,До третьих петухов,Василий Шукшин,1975,в наличии
225,А поутру они проснулись,Василий Шукшин,1973-1974,в наличии
226,Адам и Ева,Михаил Булгаков,1931,в наличии
227,Стихотворения,Николай Некрасов,1879,в наличии
228,Королева Марго,Александр Дюма,1845,в наличии
229,Страна багровых туч,Аркадий и Борис Стругацкие,1959,в наличии
230,Чудесное путешествие Нильса с дикими гусями,Сельма Лагерлёф,1906,в наличии
231,Саргассы в космосе,Андре Нортон,1955,в наличии
232,Кортик,Анатолий Рыбаков,1947,в наличии
233,Человек-невидимка,Герберт Уэллс,1897,в наличии
234,Убийство на поле для гольфа,Агата Кристи,1923,в наличии
235,Приключения Эраста Фандорина,Борис Акунин,1998-2009,в наличии
236,Даурия,Константин Седых,1948,в наличии
237,Горячий снег,Юрий Бондарев,1970,в наличии
238,Стихотворения,Роберт Рождественский,1950-1990,в наличии
239,"Мороз, Красный нос",Николай Некрасов,1863,в наличии
240,Бегущая по волнам,Александр Грин,1928,в наличии
241,Неизвестный солдат,Анатолий Рыбаков,1970,в наличии
242,Приключения Оливера Твиста,Чарльз Диккенс,1838,в наличии
243,Стихотворения,Евгений Евтушенко,1949-...,в наличии
244,Любовь к жизни,Джек Лондон,1905,в наличии
245,Аэлита,Алексей Толстой,1923,в наличии
246,Конёк-Горбунок,Петр Ершов,1834-1856,в наличии
247,Лирика,Анна Ахматова,1911-1966,в наличии
248,Трагедия в трёх актах,Агата Кристи,1934,в наличии
249,Они сражались за Родину,Михаил Шолохов,1969,в наличии
250,Тень,Евгений Шварц,1940,в наличии
251,Каторга,Валентин Пикуль,1987,в наличии
252,Волшебная гора,Томас Манн,1924,в наличии
253,Слово и дело,Валентин Пикуль,1974-1975,в наличии
254,Сказка о попе и о работнике его Балде,Александр Пушкин,1830,в наличии
255,"Трое в лодке, не считая собаки",Джером К. Джером,1889,в наличии
256,Серия книг о Гарри Поттере,Джоан Роулинг,1997-2007,в наличии
257,"Человек, который смеется",Виктор Гюго,1860-е,в наличии
258,Рассказы,Михаил Зощенко,1922-1958,в наличии
259,Голый король,Евгений Шварц,1934,в наличии
260,Лирика,Марина Цветаева,1906-1941,в наличии
261,Стихотворения,Борис Пастернак,1912-1959,в наличии
262,Всадник без головы,Томас Майн Рид,1865-1866,в наличии
263,Чапаев,Дмитрий Фурманов,1923,в наличии
264,Знак беды,Василь Быков,1982,в наличии
265,День триффидов,Джон Уиндэм,1951,в наличии
266,Божественная комедия,Данте Алигьери,1307-1321,в наличии
267,Северная одиссея,Джек Лондон,1914,в наличии
268,Москва и москвичи,Владимир Гиляровский,1934,в наличии
269,Евангелие от палача,Братья Вайнеры,1984,в наличии
270,Рассказы,Виктория Токарева,,в наличии
271,Марсианские хроники,Рэй Брэдбери,1950,в наличии
272,Одиссея,Гомер,VIII век до н. э.,в наличии
273,Вечный зов,Анатолий Иванов,1971-1976,в наличии
274,Илиада,Гомер,VIII век до н. э.,в наличии
275,Порт-Артур,Александр Степанов,1940,в наличии
276,Война миров,Герберт Уэллс,1897,в наличии
277,Будденброки,Томас Манн,1901,в наличии
278,Хранитель древностей,Юрий Домбровский,1964,в наличии
279,Олеся,Александр Куприн,1898,в наличии
280,Вероника решает умереть,Пауло Коэльо,1998,в наличии
281,Доктор Фаустус,Томас Манн,1947,в наличии
282,Винни-Пух,Алан Александр Милн,1924-1928,в наличии
283,Ионыч,Антон Чехов,1898,в наличии
284,Таис Афинская,Иван Ефремов,1972,в наличии
285,Дядюшкин сон,Федор Достоевский,1859,в наличии
286,Замок,Франц Кафка,1922,в наличии
287,Процесс,Франц Кафка,1914-1915,в наличии
288,Третья ракета,Василь Быков,1962,в наличии
289,Цветы для Элджернона,Дэниел Киз,1959,в наличии
290,Факультет ненужных вещей,Юрий Домбровский,1975,в наличии
291,Автостопом по галактике,Дуглас Адамс,1979,в наличии
292,Нос,Николай Гоголь,1832-1833,в наличии
293,Грозовой перевал,Эмили Бронте,1847,в наличии
294,В окопах Сталинграда,Виктор Некрасов,1946,в наличии
295,Властелин колец,Джон Толкиен,1954-1955,в наличии
296,В поисках утраченного времени,Марсель Пруст,1913-1922,в наличии
297,Поющие в терновнике,Колин Маккалоу,1977,в наличии
298,Маскарад,Михаил Лермонтов,1835,в наличии
299,Яма,Александр Куприн,1909-1915,в наличии
300,Чайка по имени Джонатан Ливингстон,Ричард Бах,1970,в наличии
301,Вино из одуванчиков,Рэй Брэдбери,1957,в наличии
302,Аленький цветочек,Сергей Аксаков,1858,в наличии
303,Стихотворения,Михаил Лермонтов,1828-1841,в наличии
304,Ночь нежна,Фрэнсис Скотт Фицджеральд,1934,в наличии
305,Майор Вихрь,Юлиан Семенов,1967,в наличии
306,Что делать?,Николай Чернышевский,1863,в наличии
307,Норвежский лес,Харуки Мураками,1987,в наличии
308,Голубая чашка,Аркадий Гайдар,1936,в наличии
309,Рассказы,Иван Ефремов,1942-1972,в наличии
310,Стихи. Песни. Пародии. Сказки. Пьесы. Киноповести,Леонид Филатов,1998,в наличии
311,Двойник,Федор Достоевский,1846,в наличии
312,Жизнь Клима Самгина,Максим Горький,1925-1936,в наличии
313,Степной волк,Герман Гессе,1927,в наличии
314,Легенды и мифы Древней Греции,Николай Кун,1922,в наличии
315,Полковнику никто не пишет,Габриэль Гарсиа Маркес,1961,в наличии
316,Князь Серебряный,Алексей Константинович Толстой,1863,в наличии
317,"Малыш и Карлсон, который живёт на крыше",Астрид Линдгрен,1955,в наличии
318,Слепой музыкант,Владимир Короленко,1886,в наличии
319,Рубаи,Омар Хайям,XI век,в наличии
320,Запечатленный ангел,Николай Лесков,1872,в наличии
321,Сиддхартха,Герман Гессе,1922,в наличии
322,Игра в бисер,Герман Гессе,1931-1942,в наличии
323,Стихотворения. (1912—1917),Владимир Маяковский,1912-1917,в наличии
324,Дети подземелья,Владимир Короленко,1885,в наличии
325,Сказки,Владимир Сутеев,,в наличии
326,Сказка о золотом петушке,Александр Пушкин,1834,в наличии
327,Соборяне,Николай Лесков,1872,в наличии
328,Страдания юного Вертера,Иоганн Вольфганг фон Гёте,1774,в наличии
329,Рассказы,Эдгар По,1833-1849,в наличии
330,Солнце живых,Иван Шмелёв,1912-1931,в наличии
331,Овод,Этель Лилиан Войнич,1897,в наличии
332,Фальшивый купон,Лев Толстой,Конец 1880-х-1904,в наличии
333,Пути небесные,Иван Шмелёв,1936-1947,в наличии
334,Угрюм-река,Вячеслав Шишков,1928-1933,в наличии
335,Повесть о Ходже Насреддине,Леонид Соловьёв,"1939, 1954",в наличии
336,Незнайка в Солнечном городе,Николай  Носов,1958,в наличии
