ID,Название книги,Автор книги,Год издания,Статус
929,Чудеса в Гусляре,Кир Булычев,1967,в наличии
930,Конец детства,Артур Кларк,1952-1953,в наличии
931,Мир смерти,Гарри Гаррисон,1960-1973,в наличии
932,Голодные Игры,Сьюзен Коллинз,2008-2010,в наличии
933,Приют грёз,Эрих Мария Ремарк,1920,в наличии
934,"Лестерский кодекс (Трактат о воде, земле и небесных телах)",Леонардо да Винчи,1504-1516,в наличии
935,Маска Красной смерти,Эдгар По,1842,в наличии
936,Молодые годы короля Генриха IV/Зрелые годы короля Генриха IV,Генрих Манн,"1935, 1938",в наличии
937,Наш общий друг,Чарльз Диккенс,1860,в наличии
938,Последняя любовь в Константинополе,Милорад Павич,1994,в наличии
939,Робин Гуд,Александр Дюма,1863,в наличии
940,210 шагов,Роберт Рождественский,1975-1978,в наличии
941,Софист,Платон,,в наличии
942,В кругу развалин,Хорхе Луис Борхес,1940,в наличии
943,Питер Пэн и Венди,Джеймс Барри,1911,в наличии
944,"Серия ""Меч Истины""",Терри Гудкайнд,1994-2013,в наличии
945,Дочь Монтесумы,Генри Райдер Хаггард,1893,в наличии
946,"Месс Менд, или Янки в Петрограде",Мариэтта Шагинян,1924,в наличии
947,Хлеб для собаки,Владимир Тендряков,1970,в наличии
948,Сами боги,Айзек Азимов,1972,в наличии
949,Владетель Баллантрэ,Роберт Льюис Стивенсон,1889,в наличии
950,Мещанин во дворянстве,Мольер,1679,в наличии
951,Молодые львы,Ирвин Шоу,1949,в наличии
952,Мишкина каша,Николай  Носов,1938,в наличии
953,Империя Ангелов,Бернар Вербер,2000,в наличии
954,"Мы, боги",Бернар Вербер,2004,в наличии
955,Паломничество Чайльд-Гарольда,Джордж Гордон Байрон,1812—1818,в наличии
956,Ангел-хранитель,Франсуаза Саган,1968,в наличии
957,Париж в 20 веке (Париж 100 лет спустя),Жюль Верн,1863,в наличии
958,Властелин мира,Жюль Верн,1904,в наличии
959,Дневник Бриджит Джонс,Хелен Филдинг,1998,в наличии
960,Пища богов,Герберт Уэллс,1904,в наличии
961,Нравственные письма к Луцилию,Луций Анней Сенека,64,в наличии
962,"Сказка о добром царе, злом воеводе и бедном крестьянине",Николай Некрасов,1877,в наличии
963,Лотерейный билет № 9672,Жюль Верн,1886,в наличии
964,Искусство сновидения,Карлос Кастанеда,1993,в наличии
965,Искупление,Иэн Макьюэн,2001,в наличии
966,Люди или нелюди,Владимир Тендряков,1975-1976,в наличии
967,Красный смех,Леонид  Андреев,1904,в наличии
968,"Шпион, или Повесть о нейтральной территории",Джеймс Фенимор Купер,1821,в наличии
969,Двери восприятия. Рай и ад,Олдос Хаксли,1954,в наличии
970,Городок,Шарлотта Бронте,1853,в наличии
971,Михаил Строгов,Жюль Верн,1874-1875,в наличии
972,Одлян или Воздух свободы,Леонид Габышев,1989,в наличии
973,Беда,Михаил Зощенко,1923,в наличии
974,Путеводитель по науке (от египетских пирамид до космических станций),Айзек Азимов,1972,в наличии
975,Московская сага,Василий Аксенов,1991-1992,в наличии
976,В дороге (На дороге),Джек Керуак,1957,в наличии
977,Оружие и человек,Бернард Шоу,1894,в наличии
978,Рассказы,Карел Чапек,1908-1938,в наличии
979,Пролог,Николай Чернышевский,1870,в наличии
980,Сказки о силе,Карлос Кастанеда,1974,в наличии
981,Чужак в чужой стране,Роберт Хайнлайн,1961,в наличии
982,Ночь в тоскливом октябре,Роджер Желязны,1993,в наличии
983,Город и псы,Марио Варгас Льоса,1963,в наличии
984,Город,Клиффорд Саймак,1952,в наличии
985,Персиковый источник,Тао Юань-мин,420,в наличии
986,Путешествие в Икстлан,Карлос Кастанеда,1972,в наличии
987,Барбаросса,Валентин Пикуль,1991,в наличии
988,Золотой человек,Мор Йокаи,1872,в наличии
989,Городок в табакерке,Владимир Одоевский,1834,в наличии
990,Маленький оборвыш,Джемс Гринвуд,1866,в наличии
991,Вся королевская рать,Роберт Пенн Уоррен,1946,в наличии
992,Сказки для вундеркиндов,Сигизмунд Кржижановский,1919-1927,в наличии
993,Черт на колокольне,Эдгар По,1839,в наличии
994,Лолита,Владимир Набоков,"1955, 1958",в наличии
995,Маленькие женщины,Луиза Мэй Олкотт,1868-1869,в наличии
996,Северное сияние,Филип Пулман,1995,в наличии
997,"Трилогия ""Роза распятия""",Генри Миллер,1949-1960,в наличии
998,Оскар и Розовая дама,Эрик-Эммануэль Шмитт,2002,в наличии
999,Прожорливый башмак,Алексей Толстой,1911,в наличии
1000,Генерал Топтыгин,Николай Некрасов,1867,в наличии
